City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,butaritari,3.0707,172.7902,27.67,79,21,6.74,KI,1678862000
1,ushuaia,-54.8,-68.3,2.81,75,0,3.6,AR,1678862004
2,kaitangata,-46.2817,169.8464,14.12,83,86,2.85,NZ,1678862120
3,ponta do sol,32.6667,-17.1,16.35,79,75,0.81,PT,1678862025
4,bredasdorp,-34.5322,20.0403,20.91,90,100,8.15,ZA,1678862052
5,christchurch,-43.5333,172.6333,17.73,75,75,8.23,NZ,1678862012
6,harrisonburg,38.4496,-78.8689,-0.47,59,40,5.66,US,1678862162
7,bluff,-46.6,168.3333,12.67,75,32,2.81,NZ,1678862163
8,cherskiy,68.75,161.3,-12.76,92,100,2.96,RU,1678862116
9,muswellbrook,-32.2667,150.9,31.01,26,27,2.66,AU,1678862164
10,tuktoyaktuk,69.4541,-133.0374,-33.96,100,100,2.36,CA,1678861993
11,clyde river,70.4692,-68.5914,-29.87,69,100,1.03,CA,1678862081
12,esmeraldas,-19.7625,-44.3139,20.48,95,100,1.68,BR,1678861988
13,wasilla,61.5814,-149.4394,-8.01,52,20,7.72,US,1678862167
14,zhigansk,66.7697,123.3711,-13.46,92,94,1.36,RU,1678862168
15,buraydah,26.326,43.975,17.25,18,0,5.88,SA,1678861957
16,makakilo city,21.3469,-158.0858,25.18,91,75,4.12,US,1678862169
17,rikitea,-23.1203,-134.9692,26.01,69,0,3.23,PF,1678861988
18,marsh harbour,26.5412,-77.0636,21.39,65,20,7.42,BS,1678862163
19,saskylakh,71.9167,114.0833,-13.99,89,19,4.55,RU,1678862171
20,puerto ayora,-0.7393,-90.3518,24.75,100,29,1.14,EC,1678861788
21,fuzhou,26.0614,119.3061,19.94,31,1,1.71,CN,1678861955
22,aklavik,68.2191,-135.0107,-28.44,93,100,4.18,CA,1678862173
23,port lincoln,-34.7333,135.8667,25.04,40,9,6.48,AU,1678862174
24,torbay,47.6666,-52.7314,-3.01,88,75,5.14,CA,1678861986
25,carnarvon,-24.8667,113.6333,31.03,51,0,8.88,AU,1678862091
26,daphne,30.6035,-87.9036,8.76,62,0,4.12,US,1678862176
27,vaini,-21.2,-175.2,26.09,78,20,3.6,TO,1678862084
28,mar del plata,-38.0023,-57.5575,23.86,97,100,8.94,AR,1678862032
29,saint george,37.1041,-113.5841,12.46,74,100,4.12,US,1678862177
30,mahebourg,-20.4081,57.7,28.16,61,40,7.72,MU,1678862119
31,kupang,-10.1667,123.5833,32.32,74,40,2.06,ID,1678861987
32,yellowknife,62.456,-114.3525,-19.69,65,20,4.63,CA,1678862088
33,mandalgovi,45.7625,106.2708,-3.89,51,100,1.88,MN,1678862180
34,mardin,37.3131,40.7436,11.59,88,100,7.2,TR,1678862180
35,san cristobal,7.7669,-72.225,18.74,66,87,1.19,VE,1678862182
36,bardsir,29.9227,56.5743,13.28,51,24,1.29,IR,1678862183
37,namwala,-15.7504,26.4384,21.25,74,9,2.02,ZM,1678862184
38,bethel,41.3712,-73.414,2.47,80,0,5.14,US,1678862185
39,omsukchan,62.5333,155.8,-10.14,93,57,3.89,RU,1678862185
40,sale,34.0389,-6.8166,10.91,100,40,1.54,MA,1678862186
41,longido,-2.7333,36.6833,23.72,55,100,3.94,TZ,1678862187
42,mataura,-46.1927,168.8643,12.49,83,46,1.31,NZ,1678862057
43,dikson,73.5069,80.5464,-5.23,93,100,15.46,RU,1678862003
44,avarua,-21.2078,-159.775,25.03,83,99,0.51,CK,1678862085
45,muros,42.7762,-9.0603,11.72,94,63,3.3,ES,1678862189
46,nanortalik,60.1432,-45.2371,-5.78,77,93,2.44,GL,1678862190
47,pinsk,52.1229,26.0951,8.15,81,100,2.77,BY,1678862191
48,kamenolomni,47.6685,40.2051,4.15,52,100,7.71,RU,1678862192
49,duayaw nkwanta,7.1724,-2.1028,22.4,92,21,1.53,GH,1678862192
50,atuona,-9.8,-139.0333,27.15,76,93,3.79,PF,1678862017
51,avera,33.194,-82.5271,2.03,60,16,2.31,US,1678862194
52,aitape,-3.1374,142.3475,28.56,70,89,2.29,PG,1678862195
53,noumea,-22.2763,166.4572,29.99,81,100,4.74,NC,1678862196
54,okha,53.5739,142.9478,-2.15,84,100,6.43,RU,1678862196
55,cape town,-33.9258,18.4232,22.73,85,23,5.81,ZA,1678861993
56,barrow,71.2906,-156.7887,-28.99,76,0,3.09,US,1678861977
57,georgiyevka,43.0369,74.7114,13.02,62,0,7.0,KZ,1678862198
58,koslan,63.4564,48.8989,1.38,100,100,4.66,RU,1678862199
59,borogontsy,62.6683,131.1683,-4.25,85,95,3.3,RU,1678862200
60,port elizabeth,-33.918,25.5701,22.83,99,66,2.24,ZA,1678861759
61,maldonado,-34.6667,-54.9167,25.66,92,7,4.55,UY,1678862201
62,san carlos de bariloche,-41.1456,-71.3082,12.86,71,75,10.8,AR,1678862202
63,sola,-13.8833,167.55,29.37,74,20,1.03,VU,1678862202
64,hami,42.8,93.45,13.76,24,98,3.38,CN,1678862203
65,chokurdakh,70.6333,147.9167,-21.61,97,100,1.37,RU,1678862007
